"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"221",13,45,2,477.8,66.8,51.5,120.1,NA
"222",13,45,3,549.2,75.2,78.2,NA,115.7
"223",13,60,1,547.8,80.4,88.5,NA,NA
"224",13,60,2,492.6,76.1,65.4,100.5,NA
"225",13,60,3,622.3,86.7,114.1,NA,110.4
"226",13,74,1,504.6,68.8,71,NA,NA
"227",13,74,2,476.6,67.9,55.1,108.7,NA
"228",13,74,3,540.2,71.8,88,NA,99.6
"229",13,107,1,493.6,64,65.9,NA,NA
"230",13,107,2,444.9,56.3,55.6,112.4,NA
"231",13,107,3,551.9,73.5,77.3,NA,116.7
"232",13,121,1,503.5,71.2,60.4,NA,NA
"233",13,121,2,482.7,67.4,48.5,125.5,NA
"234",13,121,3,544.1,77.5,74.9,NA,116.3
"235",1,1,1,543.8,68.9,63.2,NA,NA
"236",1,1,2,467.9,57.7,50.8,135.1,NA
"237",1,1,3,643.7,84.1,78.1,NA,214.5
"238",1,4,1,543.4,65,58.6,NA,NA
"239",1,4,2,473.3,57.2,47.1,140.1,NA
"240",1,4,3,635.9,75.7,72.3,NA,222.2
"241",1,10,1,563.9,68.9,71.8,NA,NA
"242",1,10,2,480.1,57.1,56.2,138.8,NA
"243",1,10,3,672.8,84.3,89.2,NA,218.4
"244",1,22,1,543.1,71.7,64.5,NA,NA
"245",1,22,2,475.6,57.1,53,139.3,NA
"246",1,22,3,639.3,92.4,79.7,NA,202
"247",1,57,1,537.2,75.8,65.1,NA,NA
"248",1,57,2,438.7,63.9,47.8,114.2,NA
"249",1,57,3,645.5,89.3,83.9,NA,211.1
"250",1,106,1,517.4,66.9,59.3,NA,NA
"251",1,106,2,432.4,58.1,51.1,115.7,NA
"252",1,106,3,625.3,79.6,69.1,NA,214.2
"253",2,1,1,539.3,69.3,63.2,NA,NA
"254",2,1,2,470.9,59.1,50.9,135.6,NA
"255",2,1,3,630.8,83.4,78.2,NA,198.4
"256",2,4,1,538.5,64.4,61,NA,NA
"257",2,4,2,475.5,58.2,47.1,138.4,NA
"258",2,4,3,623.9,73.6,78.6,NA,202
"259",2,10,1,556.8,70,70.2,NA,NA
"260",2,10,2,493.2,60.3,55.6,142.5,NA
"261",2,10,3,643.7,83.3,86.9,NA,196.7
"262",2,22,1,542.6,74,63.9,NA,NA
"263",2,22,2,471.8,59.5,52.5,137.1,NA
"264",2,22,3,641,94.1,78.3,NA,194.8
"265",2,57,1,531.8,73.7,65.3,NA,NA
"266",2,57,2,436.3,62.3,52.3,116.2,NA
"267",2,57,3,637.2,86.6,78.5,NA,202.1
"268",2,106,1,506.8,65.9,56.4,NA,NA
"269",2,106,2,453.5,57.7,50.9,129.6,NA
"270",2,106,3,579.6,77.9,63.1,NA,184.4
"271",3,1,1,529,68.7,63.2,NA,NA
"272",3,1,2,462,59.5,51.3,128.6,NA
"273",3,1,3,618,81.3,77.2,NA,187.8
"274",3,4,1,525.1,64.6,61,NA,NA
"275",3,4,2,457.5,57.6,47.2,130.5,NA
